filename,label
Scale/VID_20180918_174834_00000015.jpg,Scale
Scale/VID_20180918_174820_00000013.jpg,Scale
Scale/20181002_122443_00000009.jpg,Scale
Scale/VID_20180918_174820_00000007.jpg,Scale
Scale/20181002_130154_00000008.jpg,Scale
Scale/VID_20180925_123143_00000008.jpg,Scale
Scale/VID_20180918_174834_00000001.jpg,Scale
Scale/VID_20180918_172520_00000002.jpg,Scale
Scale/IMG_2549_00000011.jpg,Scale
Scale/VID_20181006_100536_00000005.jpg,Scale
Scale/VID_20181006_100536_00000011.jpg,Scale
Scale/VID_20180918_172520_00000016.jpg,Scale
Scale/IMG_2549_00000005.jpg,Scale
Scale/VID_20181006_101141_00000005.jpg,Scale
Scale/IMG_2368_00000026.jpg,Scale
Scale/VID_20181006_101141_00000011.jpg,Scale
Scale/IMG_3512_00000027.jpg,Scale
Scale/20181002_125223_00000000.jpg,Scale
Scale/IMG_3459_00000042.jpg,Scale
Scale/IMG_3512_00000033.jpg,Scale
Scale/IMG_3462_00000027.jpg,Scale
Scale/IMG_3511_00000007.jpg,Scale
Scale/VID_20181006_101130_00000006.jpg,Scale
Scale/VID_20181006_101130_00000012.jpg,Scale
Scale/IMG_3511_00000013.jpg,Scale
Scale/20181002_122411_00000009.jpg,Scale
Scale/IMG_3462_00000033.jpg,Scale
Scale/20181002_125207_00000003.jpg,Scale
Scale/20181002_123606_00000004.jpg,Scale
Scale/20181002_123606_00000010.jpg,Scale
Scale/VID_20180918_174115_00000008.jpg,Scale
Scale/IMG_2586_00000028.jpg,Scale
Scale/VID_20180918_174851_00000004.jpg,Scale
Scale/VID_20180918_172510_00000007.jpg,Scale
Scale/IMG_2586_00000014.jpg,Scale
Scale/IMG_2586_00000000.jpg,Scale
Scale/VID_20180918_172510_00000013.jpg,Scale
Scale/IMG_3470_00000032.jpg,Scale
Scale/VID_20180918_174047_00000018.jpg,Scale
Scale/IMG_3470_00000026.jpg,Scale
Scale/20181002_123614_00000005.jpg,Scale
Scale/VID_20180918_174047_00000024.jpg,Scale
Scale/IMG_2369_00000021.jpg,Scale
Scale/VID_20181006_095914_00000014.jpg,Scale
Scale/20181002_124152_00000010.jpg,Scale
Scale/IMG_2369_00000009.jpg,Scale
Scale/VID_20181006_095914_00000000.jpg,Scale
Scale/20181002_124152_00000004.jpg,Scale
Scale/IMG_3463_00000034.jpg,Scale
Scale/IMG_3477_00000032.jpg,Scale
Scale/VID_20180918_173348_00000002.jpg,Scale
Scale/IMG_3477_00000026.jpg,Scale
Scale/20181002_123951_00000009.jpg,Scale
Scale/IMG_3463_00000020.jpg,Scale
Scale/IMG_3463_00000008.jpg,Scale
Scale/VID_20180918_174100_00000009.jpg,Scale
Scale/VID_20180925_123155_00000015.jpg,Scale
Scale/VID_20180925_123133_00000018.jpg,Scale
Scale/VID_20180925_123155_00000001.jpg,Scale
Scale/20181002_125554_00000007.jpg,Scale
Scale/20181002_122515_00000011.jpg,Scale
Scale/IMG_2587_00000007.jpg,Scale
Scale/VID_20180918_172550_00000012.jpg,Scale
Scale/VID_20180918_172550_00000006.jpg,Scale
Scale/IMG_2587_00000013.jpg,Scale
Scale/20181002_122515_00000005.jpg,Scale
Scale/IMG_2587_00000012.jpg,Scale
Scale/VID_20180918_172550_00000007.jpg,Scale
Scale/20181002_122515_00000004.jpg,Scale
Scale/20181002_122515_00000010.jpg,Scale
Scale/VID_20180918_172550_00000013.jpg,Scale
Scale/IMG_2587_00000006.jpg,Scale
Scale/20181002_125554_00000006.jpg,Scale
Scale/VID_20180925_123155_00000000.jpg,Scale
Scale/VID_20180925_123133_00000019.jpg,Scale
Scale/VID_20180925_123155_00000014.jpg,Scale
Scale/IMG_3463_00000009.jpg,Scale
Scale/VID_20180918_174100_00000008.jpg,Scale
Scale/IMG_3477_00000027.jpg,Scale
Scale/IMG_3463_00000021.jpg,Scale
Scale/20181002_123951_00000008.jpg,Scale
Scale/IMG_3463_00000035.jpg,Scale
Scale/VID_20180918_173348_00000003.jpg,Scale
Scale/IMG_3477_00000033.jpg,Scale
Scale/20181002_124152_00000005.jpg,Scale
Scale/VID_20181006_095914_00000001.jpg,Scale
Scale/IMG_2369_00000008.jpg,Scale
Scale/IMG_3458_00000044.jpg,Scale
